"title","section","char_count","word_count"
"Статья","Раздел I. Общие положения",12195,293
"Статья","Раздел I. Общие положения",11974,323
"Статья","Раздел I. Общие положения",12765,300
"Статья","Раздел I. Общие положения",11989,286
"Статья","Раздел I. Общие положения",10228,235
"Статья","Раздел I. Общие положения",11783,302
"Статья","Раздел I. Общие положения",14959,395
"Статья","Раздел I. Общие положения",11019,254
"Статья","Раздел I. Общие положения",17150,396
"Статья","Раздел I. Общие положения",12957,312
"Статья","Раздел I. Общие положения",13944,306
"Статья","Раздел I. Общие положения",14944,324
"Статья","Раздел I. Общие положения",12261,269
"Статья","Раздел I. Общие положения",12092,291
"Статья","Раздел I. Общие положения",12212,279
"Статья","Раздел I. Общие положения",11853,268
"Статья","Раздел I. Общие положения",11505,255
"Статья","Раздел I. Общие положения",11117,273
"Статья","Раздел I. Общие положения",10631,257
"Статья","Раздел I. Общие положения",10804,238
"Статья","Раздел I. Общие положения",10995,273
"Статья","Раздел I. Общие положения",11484,275
"Статья","Раздел I. Общие положения",15910,358
"Статья","Раздел I. Общие положения",9578,222
"Статья","Раздел I. Общие положения",12300,307
"Статья","Раздел I. Общие положения",12145,275
"Статья","Раздел I. Общие положения",12674,320
"Статья","Раздел I. Общие положения",11985,271
"Статья","Раздел I. Общие положения",11976,253
"Статья","Раздел I. Общие положения",11452,242
"Статья","Раздел I. Общие положения",9886,231
"Статья","Раздел I. Общие положения",10873,259
"Статья","Раздел I. Общие положения",14101,333
"Статья","Раздел I. Общие положения",13485,316
"Статья","Раздел I. Общие положения",10467,259
"Статья","Раздел I. Общие положения",9742,210
"Статья","Раздел I. Общие положения",15336,356
"Статья","Раздел I. Общие положения",10924,267
"Статья","Раздел I. Общие положения",14159,367
"Статья","Раздел I. Общие положения",9438,220
"Статья","Раздел II. Особенная часть",13381,283
"Статья","Раздел II. Особенная часть",10099,224
"Статья","Раздел II. Особенная часть",13226,316
"Статья","Раздел II. Особенная часть",11779,295
"Статья","Раздел II. Особенная часть",12104,296
"Статья","Раздел II. Особенная часть",11891,301
"Статья","Раздел II. Особенная часть",11936,264
"Статья","Раздел II. Особенная часть",14288,319
"Статья","Раздел II. Особенная часть",10491,258
"Статья","Раздел II. Особенная часть",12110,287
"Статья","Раздел II. Особенная часть",9053,223
"Статья","Раздел II. Особенная часть",13115,360
"Статья","Раздел II. Особенная часть",11958,273
"Статья","Раздел II. Особенная часть",11363,264
"Статья","Раздел II. Особенная часть",10958,256
"Статья","Раздел II. Особенная часть",12344,286
"Статья","Раздел II. Особенная часть",12722,322
"Статья","Раздел II. Особенная часть",13203,339
"Статья","Раздел II. Особенная часть",11327,257
"Статья","Раздел II. Особенная часть",9554,259
"Статья","Раздел II. Особенная часть",10667,246
"Статья","Раздел II. Особенная часть",10404,234
"Статья","Раздел II. Особенная часть",10471,237
"Статья","Раздел II. Особенная часть",10505,244
"Статья","Раздел II. Особенная часть",12323,308
"Статья","Раздел II. Особенная часть",13507,318
"Статья","Раздел II. Особенная часть",12938,332
"Статья","Раздел II. Особенная часть",12151,242
"Статья","Раздел II. Особенная часть",10630,306
"Статья","Раздел II. Особенная часть",10223,230
"Статья","Раздел II. Особенная часть",11913,277
"Статья","Раздел II. Особенная часть",11425,245
"Статья","Раздел II. Особенная часть",10826,253
"Статья","Раздел II. Особенная часть",11530,249
"Статья","Раздел II. Особенная часть",12050,307
"Статья","Раздел II. Особенная часть",12637,321
"Статья","Раздел II. Особенная часть",12480,306
"Статья","Раздел II. Особенная часть",12517,309
"Статья","Раздел II. Особенная часть",14228,340
"Статья","Раздел II. Особенная часть",11075,247
"Статья","Раздел II. Особенная часть",9372,222
"Статья","Раздел II. Особенная часть",10956,261
"Статья","Раздел II. Особенная часть",11356,279
"Статья","Раздел II. Особенная часть",11680,281
"Статья","Раздел II. Особенная часть",11315,298
"Статья","Раздел II. Особенная часть",13498,297
"Статья","Раздел II. Особенная часть",8748,220
"Статья","Раздел II. Особенная часть",10726,239
"Статья","Раздел II. Особенная часть",10567,258
"Статья","Раздел II. Особенная часть",14139,319
"Статья","Раздел II. Особенная часть",11405,279
"Статья","Раздел II. Особенная часть",13235,302
"Статья","Раздел II. Особенная часть",12608,309
"Статья","Раздел II. Особенная часть",13051,344
"Статья","Раздел II. Особенная часть",11613,275
"Статья","Раздел II. Особенная часть",13166,344
"Статья","Раздел II. Особенная часть",10429,265
"Статья","Раздел II. Особенная часть",12823,336
"Статья","Раздел II. Особенная часть",12181,289
"Статья","Раздел II. Особенная часть",11286,280
"Статья","Раздел II. Особенная часть",9913,260
"Статья","Раздел II. Особенная часть",9493,228
"Статья","Раздел II. Особенная часть",13138,321
"Статья","Раздел II. Особенная часть",13191,332
"Статья","Раздел II. Особенная часть",8886,201
"Статья","Раздел II. Особенная часть",11362,278
"Статья","Раздел II. Особенная часть",11199,223
"Статья","Раздел II. Особенная часть",10078,217
"Статья","Раздел II. Особенная часть",10640,240
"Статья","Раздел II. Особенная часть",9192,236
"Статья","Раздел II. Особенная часть",10303,248
"Статья","Раздел II. Особенная часть",11358,270
"Статья","Раздел II. Особенная часть",9563,238
"Статья","Раздел II. Особенная часть",11302,280
"Статья","Раздел II. Особенная часть",10286,231
"Статья","Раздел II. Особенная часть",11216,253
"Статья","Раздел II. Особенная часть",9653,211
"Статья","Раздел II. Особенная часть",10047,236
"Статья","Раздел II. Особенная часть",11201,251
"Статья","Раздел II. Особенная часть",10752,237
"Статья","Раздел II. Особенная часть",6859,172
"Статья","Раздел II. Особенная часть",10558,251
"Статья","Раздел II. Особенная часть",10610,233
"Статья","Раздел II. Особенная часть",9379,236
"Статья","Раздел II. Особенная часть",10891,262
"Статья","Раздел II. Особенная часть",10451,263
"Статья","Раздел II. Особенная часть",13815,295
"Статья","Раздел II. Особенная часть",13713,322
"Статья","Раздел II. Особенная часть",13382,347
"Статья","Раздел II. Особенная часть",12011,278
"Статья","Раздел II. Особенная часть",12754,301
"Статья","Раздел II. Особенная часть",11718,272
"Статья","Раздел II. Особенная часть",12823,331
"Статья","Раздел II. Особенная часть",12732,286
"Статья","Раздел II. Особенная часть",13859,336
"Статья","Раздел II. Особенная часть",11709,304
"Статья","Раздел II. Особенная часть",13914,326
"Статья","Раздел II. Особенная часть",13895,338
"Статья","Раздел II. Особенная часть",16249,392
"Статья","Раздел II. Особенная часть",11132,282
"Статья","Раздел II. Особенная часть",11163,302
"Статья","Раздел II. Особенная часть",9557,229
"Статья","Раздел II. Особенная часть",10670,272
"Статья","Раздел II. Особенная часть",12140,266
"Статья","Раздел II. Особенная часть",14033,358
"Статья","Раздел II. Особенная часть",12651,296
"Статья","Раздел II. Особенная часть",13734,333
"Статья","Раздел II. Особенная часть",13442,336
"Статья","Раздел II. Особенная часть",10651,275
"Статья","Раздел II. Особенная часть",12363,298
"Статья","Раздел II. Особенная часть",8090,177
"Статья","Раздел II. Особенная часть",12140,289
"Статья","Раздел II. Особенная часть",13415,317
"Статья","Раздел II. Особенная часть",12217,305
"Статья","Раздел II. Особенная часть",12205,280
"Статья","Раздел II. Особенная часть",11388,265
"Статья","Раздел II. Особенная часть",10423,250
"Статья","Раздел II. Особенная часть",9478,240
"Статья","Раздел II. Особенная часть",10625,249
"Статья","Раздел II. Особенная часть",10484,228
"Статья","Раздел II. Особенная часть",10299,247
"Статья","Раздел II. Особенная часть",11880,281
"Статья","Раздел II. Особенная часть",14914,374
"Статья","Раздел II. Особенная часть",13295,297
"Статья","Раздел II. Особенная часть",11731,275
"Статья","Раздел II. Особенная часть",14679,354
"Статья","Раздел II. Особенная часть",11054,276
"Статья","Раздел II. Особенная часть",13318,323
"Статья","Раздел II. Особенная часть",15236,345
"Статья","Раздел II. Особенная часть",11213,279
"Статья","Раздел II. Особенная часть",14081,343
"Статья","Раздел II. Особенная часть",12039,294
"Статья","Раздел II. Особенная часть",11254,255
"Статья","Раздел II. Особенная часть",16518,382
"Статья","Раздел II. Особенная часть",13704,335
"Статья","Раздел II. Особенная часть",11183,260
"Статья","Раздел II. Особенная часть",13732,301
"Статья","Раздел II. Особенная часть",15959,364
"Статья","Раздел II. Особенная часть",13516,336
"Статья","Раздел II. Особенная часть",11963,295
"Статья","Раздел II. Особенная часть",11332,267
"Статья","Раздел II. Особенная часть",16542,436
"Статья","Раздел II. Особенная часть",12044,274
"Статья","Раздел II. Особенная часть",12111,282
"Статья","Раздел II. Особенная часть",15775,321
"Статья","Раздел II. Особенная часть",13623,348
"Статья","Раздел II. Особенная часть",11811,303
"Статья","Раздел II. Особенная часть",12996,310
"Статья","Раздел II. Особенная часть",14628,340
"Статья","Раздел II. Особенная часть",10043,241
"Статья","Раздел II. Особенная часть",10802,265
"Статья","Раздел II. Особенная часть",12983,304
"Статья","Раздел II. Особенная часть",12045,279
"Статья","Раздел II. Особенная часть",13557,326
"Статья","Раздел II. Особенная часть",12875,347
"Статья","Раздел II. Особенная часть",11422,318
"Статья","Раздел II. Особенная часть",9965,218
"Статья","Раздел II. Особенная часть",16705,379
"Статья","Раздел II. Особенная часть",11507,274
"Статья","Раздел II. Особенная часть",15457,342
